,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,142,32,57,155,39,227,23,52,33,77,76,7
C#,12,72,35,31,50,39,17,26,21,17,37,4
D,74,12,98,56,41,240,40,124,33,32,137,17
D#,66,40,58,155,15,107,46,144,17,113,158,13
E,39,10,15,9,66,57,16,66,8,61,38,5
F,130,29,144,89,39,420,49,71,70,132,323,13
F#,14,5,17,18,10,14,46,62,25,54,55,17
G,129,12,62,78,31,92,9,168,8,62,249,12
G#,31,31,34,22,4,23,26,9,100,30,42,34
A,146,15,99,129,16,80,13,42,13,59,91,7
A#,107,92,271,171,75,175,46,134,32,69,363,45
B,30,11,14,19,4,35,6,14,26,4,11,12
