,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,136,20,102,87,34,77,58,95,65,59,104,49
C#,21,37,14,34,22,27,9,21,31,8,43,18
D,113,16,169,47,64,109,75,242,46,67,125,118
D#,109,23,52,292,10,77,73,205,65,45,186,55
E,35,31,79,12,32,25,26,71,17,14,34,31
F,75,37,99,79,19,179,30,75,101,26,116,24
F#,53,7,56,72,33,22,65,50,19,46,37,35
G,86,31,224,202,79,54,44,291,71,39,230,94
G#,64,25,67,70,20,139,20,62,123,27,77,52
A,54,8,57,60,18,34,37,51,26,23,37,29
A#,99,41,138,191,46,96,23,197,120,42,266,32
B,42,9,134,46,30,21,35,84,62,38,36,76
