,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,535,90,111,388,67,321,54,181,386,134,303,105
C#,105,310,28,119,55,134,53,103,174,13,165,29
D,125,15,203,126,24,157,41,117,119,45,160,103
D#,448,151,120,689,28,217,86,235,316,142,262,75
E,88,46,13,13,44,54,11,59,42,25,45,18
F,283,153,172,289,33,406,44,129,289,99,256,55
F#,72,64,30,112,8,35,94,36,33,64,74,22
G,221,93,123,263,65,179,56,371,129,52,184,56
G#,393,138,123,323,34,281,41,159,479,34,164,111
A,131,16,75,102,19,118,63,61,29,96,71,16
A#,183,186,149,274,60,225,85,254,182,87,511,44
B,91,27,88,70,21,81,16,87,102,6,45,122
