,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,563,45,251,89,156,186,43,84,55,192,308,103
C#,60,269,192,21,181,113,72,61,49,154,134,55
D,284,166,3518,150,232,359,131,219,68,502,167,212
D#,94,37,165,261,53,131,110,40,17,39,35,25
E,152,184,227,27,528,226,70,225,49,245,49,110
F,167,92,403,153,205,958,70,283,133,264,112,76
F#,36,72,106,123,62,49,245,164,31,161,63,80
G,99,77,230,45,217,325,132,636,76,240,198,73
G#,52,55,72,10,43,93,39,97,311,105,301,72
A,214,170,491,52,241,254,146,278,70,3017,256,117
A#,259,133,130,48,54,146,72,183,314,267,654,46
B,95,61,223,28,120,76,63,78,77,119,29,264
