,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,644,116,57,150,94,277,33,186,238,48,178,73
C#,171,201,21,74,38,134,23,113,95,13,153,20
D,61,30,63,75,24,84,14,133,40,10,27,31
D#,187,110,78,212,39,116,43,136,100,35,89,25
E,91,33,16,28,103,126,8,98,57,15,72,9
F,273,183,93,165,73,796,30,249,315,39,127,107
F#,22,27,11,39,5,34,44,21,15,46,25,4
G,189,94,104,142,149,211,12,308,195,27,139,53
G#,190,92,57,126,43,403,25,165,336,19,127,56
A,42,12,27,41,9,35,33,24,21,45,48,10
A#,131,134,35,95,60,134,23,153,180,38,278,25
B,93,25,30,23,19,99,5,37,47,12,23,86
