,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1149,54,236,129,310,143,27,321,38,185,180,370
C#,39,59,86,20,40,24,32,13,26,51,19,60
D,406,40,826,109,163,188,25,365,31,104,71,185
D#,92,50,141,95,88,48,38,103,44,21,21,21
E,235,21,215,49,201,205,74,291,47,100,33,59
F,87,25,226,94,179,186,48,197,220,81,39,30
F#,15,25,76,28,65,21,66,148,30,114,5,21
G,420,24,247,105,239,327,117,869,108,250,141,169
G#,153,58,56,17,60,132,40,168,69,86,9,75
A,195,59,126,16,67,102,123,217,82,164,59,208
A#,62,14,78,53,12,20,7,93,169,62,68,69
B,289,40,199,47,106,16,17,231,60,200,62,96
