,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,652,177,142,138,112,195,63,253,136,223,170,168
C#,159,407,90,168,146,56,122,64,183,58,141,102
D,213,98,269,193,76,152,30,109,78,51,78,122
D#,150,170,208,382,161,92,129,110,172,73,94,93
E,121,103,114,189,327,170,122,177,104,133,63,101
F,154,60,175,97,188,387,112,158,125,115,82,95
F#,57,140,27,124,138,111,269,82,144,89,74,67
G,296,52,109,86,131,189,99,421,234,118,162,89
G#,128,186,61,167,130,129,156,231,490,116,187,177
A,185,62,113,69,119,131,84,109,144,212,109,106
A#,143,166,49,126,64,75,86,168,173,114,379,138
B,171,75,112,95,132,61,50,104,175,141,142,290
