,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,442,165,53,84,63,223,6,49,39,43,145,107
C#,208,290,205,88,160,85,211,55,91,79,113,174
D,64,182,156,58,163,93,131,81,37,84,25,61
D#,32,113,49,100,48,136,55,28,45,27,9,5
E,39,99,173,47,190,81,178,141,35,80,15,51
F,53,62,41,122,102,445,126,165,206,72,53,24
F#,35,122,56,32,190,93,153,129,145,169,67,103
G,117,57,44,24,47,119,144,103,109,94,125,68
G#,142,125,40,24,27,68,143,138,104,160,83,73
A,55,163,119,24,51,44,64,87,155,332,85,140
A#,115,194,26,38,26,59,20,31,116,63,152,84
B,116,187,173,6,62,26,63,44,45,116,52,174
