,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,294,39,237,561,11,102,14,82,63,35,116,45
C#,40,416,114,101,43,55,66,25,42,24,13,33
D,145,59,933,120,77,438,249,590,31,166,159,47
D#,115,32,154,116,1,74,40,517,256,20,96,11
E,15,28,59,6,41,16,18,43,4,29,30,4
F,65,31,156,108,14,158,26,72,90,207,140,17
F#,29,49,30,33,16,32,88,27,14,421,32,42
G,317,18,147,102,7,90,37,544,61,124,658,219
G#,320,40,12,61,6,26,29,56,140,22,40,39
A,116,100,392,28,36,25,201,97,42,203,121,51
A#,119,129,528,179,21,61,28,206,21,106,267,7
B,25,31,251,17,11,8,31,65,21,55,2,89
