,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,329,40,153,134,115,374,31,115,19,150,150,47
C#,39,84,22,36,28,43,81,21,36,18,66,11
D,114,14,145,81,45,290,20,79,20,48,246,30
D#,118,36,53,157,19,143,36,59,11,98,81,16
E,58,20,29,21,73,86,21,79,17,51,45,8
F,218,43,134,111,47,673,32,165,37,322,364,18
F#,43,30,13,23,16,67,75,35,8,38,58,17
G,150,26,81,56,55,80,26,153,12,81,176,32
G#,9,32,13,9,10,24,28,11,52,21,32,32
A,341,23,70,85,36,149,26,54,15,170,118,29
A#,170,114,381,97,52,221,35,134,33,102,335,20
B,68,23,37,17,12,15,12,23,13,17,23,53
