,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,532,110,132,102,416,98,17,104,60,88,70,201
C#,54,153,102,57,167,68,63,16,27,67,31,99
D,208,96,243,52,216,240,48,89,28,65,17,81
D#,47,68,30,171,145,28,49,22,74,16,12,40
E,168,64,261,106,657,200,105,214,112,426,23,78
F,42,21,80,37,214,317,70,114,116,115,129,43
F#,16,52,36,33,140,33,102,80,62,81,52,61
G,168,55,63,23,113,154,95,290,61,83,35,88
G#,140,27,46,38,67,27,62,53,372,185,52,103
A,296,115,134,19,148,76,41,183,167,756,106,137
A#,71,92,78,11,25,27,34,13,44,125,166,50
B,187,51,178,53,106,30,62,50,49,172,43,248
