,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,252,32,72,110,312,127,39,176,38,198,74,91
C#,50,22,23,59,114,84,12,7,32,6,53,47
D,144,32,193,18,174,104,63,255,12,18,30,54
D#,36,48,14,45,21,46,64,45,91,18,39,35
E,141,12,153,5,48,113,60,246,36,162,15,174
F,87,24,47,50,167,83,33,73,58,75,58,36
F#,33,33,48,45,15,6,276,33,57,18,49,30
G,255,32,78,23,141,92,9,308,20,57,39,219
G#,109,41,28,23,54,13,8,22,34,57,18,39
A,297,51,48,12,45,63,27,48,12,60,54,30
A#,39,149,12,32,36,22,3,13,34,18,52,36
B,77,33,381,85,33,38,27,48,22,33,14,85
