,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1296,50,315,68,327,112,35,363,125,149,81,254
C#,32,67,52,45,84,27,23,21,9,72,41,32
D,273,66,432,79,236,161,36,361,23,67,39,268
D#,84,32,89,99,66,54,53,87,50,19,43,55
E,319,96,252,58,243,177,101,328,28,107,20,97
F,128,10,148,89,184,162,26,222,105,98,17,45
F#,39,6,71,47,84,13,125,217,24,81,7,77
G,419,25,249,114,351,232,167,2031,141,276,60,237
G#,117,24,19,23,42,132,46,109,97,52,42,28
A,102,61,137,27,81,109,87,256,29,455,37,209
A#,43,38,47,32,14,15,7,77,51,37,67,44
B,324,30,230,50,114,39,85,230,49,177,18,204
