,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,689,158,64,153,82,44,53,103,64,132,253,151
C#,239,682,88,67,107,92,94,28,88,64,124,109
D,78,159,443,126,23,250,61,144,97,82,317,122
D#,156,86,227,984,64,177,197,392,119,57,238,142
E,85,124,36,115,303,70,45,664,83,68,48,71
F,54,103,245,183,112,812,107,157,246,77,203,101
F#,52,91,68,215,64,170,551,74,73,130,120,115
G,84,38,167,391,674,171,125,1005,139,32,340,90
G#,85,89,89,121,80,252,119,209,439,51,90,216
A,90,57,88,67,69,88,138,52,105,708,73,39
A#,248,125,273,253,56,180,144,336,154,117,1853,110
B,86,70,114,165,78,94,89,91,233,56,190,893
