,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,294,17,94,51,214,86,47,148,35,244,28,79
C#,13,86,40,14,69,32,39,32,23,79,58,33
D,108,32,214,23,120,126,31,143,55,130,30,167
D#,67,23,22,69,40,15,31,29,31,38,21,30
E,209,92,152,36,478,135,31,168,70,272,38,188
F,108,21,144,39,128,200,19,59,41,117,50,59
F#,23,18,51,46,39,19,95,32,24,53,17,54
G,149,34,131,25,201,81,25,300,12,81,51,100
G#,45,27,43,23,96,55,10,10,81,55,12,66
A,212,101,122,44,259,134,68,102,45,367,30,108
A#,25,34,51,22,37,49,17,58,15,30,60,14
B,84,33,115,24,187,54,58,109,91,126,17,183
