,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,123,53,50,61,60,83,27,67,35,99,45,37
C#,39,336,74,42,226,68,99,49,102,307,64,107
D,46,64,246,24,134,81,128,59,72,112,46,173
D#,52,38,23,112,77,24,75,24,52,60,33,71
E,99,266,110,46,469,47,91,75,128,245,60,161
F,64,56,93,31,37,134,40,60,63,72,54,45
F#,31,120,131,71,86,37,238,23,80,182,39,129
G,71,42,65,21,103,53,25,99,21,68,65,35
G#,43,112,63,49,141,38,71,20,187,91,22,130
A,95,262,132,80,217,85,216,62,76,452,52,147
A#,44,67,42,33,59,49,37,70,18,39,104,57
B,33,97,156,71,188,50,120,60,133,148,35,330
