,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,701,47,169,54,121,170,35,64,30,143,209,96
C#,44,887,226,17,146,72,58,44,43,172,81,52
D,224,146,2075,135,245,304,126,193,102,451,150,122
D#,37,29,150,213,45,91,98,33,17,26,20,16
E,116,155,211,26,388,232,83,176,24,194,49,78
F,142,53,366,125,194,825,61,296,104,203,114,90
F#,31,72,96,79,54,47,134,140,36,123,48,57
G,88,71,205,32,182,306,85,827,74,211,157,67
G#,27,44,99,16,19,75,29,70,315,104,175,69
A,161,178,376,34,185,253,106,228,82,993,230,138
A#,180,63,113,32,67,129,56,177,176,240,568,36
B,88,97,187,12,86,68,46,57,39,105,36,357
