,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,481,107,76,160,78,167,58,144,141,115,255,44
C#,197,636,19,194,42,135,124,35,153,14,196,48
D,109,18,137,57,46,78,5,69,21,10,55,49
D#,174,224,81,569,60,168,101,61,148,46,94,58
E,90,68,46,74,135,109,21,50,41,23,60,20
F,139,220,92,205,104,676,86,123,171,70,214,34
F#,54,92,9,140,43,167,295,39,88,26,101,23
G,146,50,63,59,95,145,41,285,139,53,114,13
G#,143,192,16,115,46,186,147,151,645,37,122,51
A,107,11,19,41,18,71,54,72,36,153,61,11
A#,141,143,67,123,50,200,104,156,196,92,335,58
B,45,33,29,47,20,31,41,18,72,15,58,112
