,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,175,7,112,12,404,50,28,128,4,27,8,66
C#,2,17,37,16,226,4,43,25,12,22,2,46
D,87,29,405,24,110,130,314,513,11,246,8,169
D#,1,11,24,10,46,2,461,32,13,3,6,90
E,121,39,121,57,377,29,155,494,573,301,23,360
F,24,4,20,14,31,43,3,47,39,115,16,4
F#,41,39,81,74,168,1,116,112,67,535,56,480
G,268,15,314,15,100,26,179,426,9,146,37,715
G#,22,8,24,34,145,2,60,7,31,52,7,531
A,194,184,399,6,154,18,112,172,53,319,26,319
A#,8,46,26,8,36,15,5,8,5,20,84,30
B,78,53,483,443,854,24,296,285,106,170,18,965
