,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,36,29,26,44,42,74,6,34,3,31,6,13
C#,3,130,110,37,190,5,78,12,50,135,13,130
D,21,98,85,20,107,84,75,59,33,58,57,71
D#,14,19,22,24,61,17,66,25,10,8,12,19
E,32,179,128,40,269,21,69,47,119,150,22,93
F,32,6,25,20,19,31,38,28,48,116,41,14
F#,9,75,74,38,128,16,122,18,71,103,8,69
G,67,14,31,5,26,14,25,39,21,38,28,28
G#,17,38,19,17,86,33,83,5,29,106,19,127
A,72,140,84,21,116,76,115,43,98,225,35,155
A#,21,19,59,6,8,26,8,6,5,22,30,82
B,20,145,105,25,117,21,46,20,93,188,21,148
