,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,679,97,242,119,192,83,15,200,127,230,83,338
C#,80,188,91,43,79,38,23,37,27,52,51,83
D,334,68,321,114,256,168,41,145,48,81,10,136
D#,74,57,80,283,59,89,15,84,67,38,39,39
E,254,83,306,46,836,240,63,186,82,229,37,129
F,89,34,181,84,293,376,14,188,103,104,33,71
F#,12,15,51,17,92,25,169,56,30,30,5,42
G,201,40,108,65,207,231,53,1044,105,151,101,86
G#,119,35,61,57,91,91,59,111,280,152,41,61
A,233,64,116,33,230,112,46,158,145,672,68,187
A#,68,54,34,37,30,35,9,91,45,62,89,37
B,262,57,131,26,126,82,37,92,99,263,34,310
