,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,207,30,68,46,55,61,20,25,10,126,77,51
C#,45,222,72,22,67,22,33,24,7,56,31,67
D,64,67,162,11,98,96,18,51,18,53,49,97
D#,31,31,8,71,60,24,37,8,30,15,12,18
E,43,72,103,59,258,97,77,107,70,105,29,50
F,51,24,109,26,90,331,14,47,38,101,41,21
F#,24,21,16,34,66,5,129,38,54,121,8,33
G,56,36,38,8,93,78,27,104,18,73,76,16
G#,16,19,19,21,60,38,47,19,109,107,18,76
A,121,65,62,15,89,71,111,110,98,506,58,122
A#,53,29,45,18,39,37,10,81,26,58,110,21
B,65,52,83,14,94,33,26,9,71,107,18,174
