,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,157,40,63,37,13,195,21,63,16,182,70,8
C#,25,156,35,3,109,36,158,40,55,221,65,52
D,87,32,135,30,25,267,58,34,22,118,186,59
D#,70,13,25,54,13,125,48,51,23,27,46,54
E,33,164,46,13,88,45,21,36,24,73,82,40
F,214,62,355,124,46,407,46,75,19,186,195,28
F#,21,189,102,73,55,22,249,14,27,88,95,82
G,41,38,51,89,66,68,18,86,16,27,39,15
G#,4,37,14,38,60,49,31,10,178,40,16,43
A,135,158,89,28,102,252,124,44,26,136,64,23
A#,72,47,116,20,66,262,136,72,28,44,261,26
B,6,19,23,40,22,29,107,29,86,39,30,77
