,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,177,38,80,77,32,199,25,42,5,94,83,14
C#,23,144,26,9,164,78,179,41,42,140,57,32
D,100,28,97,24,41,439,101,51,10,61,80,25
D#,16,7,32,39,8,131,81,86,41,20,30,47
E,16,103,53,7,72,53,32,82,60,85,69,21
F,149,22,199,121,56,450,52,58,47,349,239,38
F#,17,161,57,59,23,39,167,12,49,146,130,103
G,48,33,52,52,33,58,26,113,12,45,86,23
G#,17,54,13,19,19,26,46,19,124,33,23,90
A,226,240,178,22,78,96,61,35,24,120,74,22
A#,69,65,193,52,83,189,114,31,25,56,233,24
B,8,40,77,57,44,23,79,11,44,27,29,68
