,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,458,73,39,102,49,152,20,94,109,50,51,16
C#,69,431,35,42,115,170,116,49,112,53,85,32
D,19,53,157,20,19,66,50,53,14,29,31,34
D#,66,46,14,161,6,69,76,29,68,20,19,15
E,42,84,21,17,108,29,21,67,34,26,30,18
F,104,133,51,52,33,461,44,82,177,78,117,23
F#,20,76,40,49,13,63,207,14,50,71,66,25
G,109,25,25,19,57,46,9,229,69,35,87,34
G#,126,140,20,48,26,147,50,28,288,48,48,65
A,92,87,26,14,23,52,43,18,50,125,26,23
A#,89,138,37,39,26,81,39,62,27,23,198,11
B,18,24,80,26,22,19,19,19,36,21,12,99
