,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,225,193,25,106,28,81,84,37,85,69,133,35
C#,161,638,61,189,56,151,183,58,147,55,302,58
D,24,38,118,83,14,65,40,45,26,23,29,32
D#,145,224,69,376,67,164,117,26,101,73,97,34
E,33,50,18,43,141,107,23,27,17,18,14,20
F,88,200,45,228,50,502,275,54,106,70,184,55
F#,87,141,36,123,17,267,459,80,113,73,115,67
G,43,42,46,40,19,71,22,129,111,38,20,21
G#,69,132,27,105,34,159,134,61,423,68,147,85
A,59,43,17,75,13,78,66,20,41,226,135,35
A#,106,284,34,88,41,152,117,27,211,74,628,74
B,61,73,41,37,31,61,58,38,63,21,32,143
