,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,175,79,30,103,72,34,37,54,24,108,61,94
C#,76,297,88,87,142,74,108,40,60,47,183,163
D,74,105,256,82,67,102,78,105,41,82,94,178
D#,111,137,75,330,94,55,151,136,55,45,115,94
E,49,150,139,84,263,90,58,201,68,55,66,94
F,22,77,92,124,67,255,117,21,116,45,73,38
F#,43,84,61,141,120,103,447,82,69,170,113,130
G,69,37,112,118,199,81,104,412,81,52,154,131
G#,54,78,41,42,59,121,145,87,254,74,55,115
A,93,51,87,52,41,41,134,140,90,432,72,68
A#,26,170,113,131,61,42,80,171,125,84,360,126
B,79,100,170,105,132,49,104,100,142,107,143,376
