,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,919,15,125,51,127,37,17,82,6,120,76,113
C#,36,473,106,4,70,6,82,20,2,25,73,46
D,120,102,1798,102,190,68,121,164,29,324,104,111
D#,69,17,122,370,64,38,47,26,14,16,4,18
E,115,65,188,86,1211,102,87,132,24,128,31,103
F,32,3,69,29,94,542,46,92,28,63,47,8
F#,17,118,175,63,101,52,987,126,21,196,28,110
G,64,27,182,42,147,57,213,1477,33,179,94,107
G#,7,1,18,19,29,17,46,57,283,55,10,53
A,90,39,291,13,136,78,200,205,68,1482,117,48
A#,99,52,72,15,2,45,36,137,37,124,692,59
B,120,31,86,11,101,11,112,105,50,55,94,784
