,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,964,48,160,468,124,309,25,135,20,295,228,66
C#,22,249,141,24,121,32,26,42,4,22,87,36
D,150,101,902,127,86,382,49,161,86,97,363,85
D#,478,36,97,404,48,114,41,106,10,119,83,48
E,112,119,52,28,338,158,41,145,5,46,67,18
F,273,26,409,84,100,2125,59,142,96,250,343,40
F#,17,19,44,35,25,50,418,102,27,51,35,20
G,154,50,165,139,143,109,60,827,35,149,113,53
G#,18,21,95,13,4,87,26,26,96,55,21,17
A,295,14,117,94,49,258,44,103,45,849,183,34
A#,241,91,329,97,70,299,36,151,39,140,1798,60
B,118,32,77,72,21,24,18,57,16,12,30,124
