,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,285,133,33,146,108,170,10,84,63,54,73,96
C#,107,75,25,19,42,149,33,32,29,18,60,12
D,60,19,46,20,19,81,12,70,12,24,22,18
D#,40,52,35,52,42,17,49,74,52,24,25,17
E,84,14,34,41,78,83,27,112,42,36,22,25
F,113,49,24,51,80,185,26,67,219,137,68,26
F#,18,16,5,18,33,21,28,57,14,32,34,17
G,138,37,38,35,51,117,46,221,29,35,128,56
G#,118,70,21,43,20,78,19,107,131,50,29,44
A,151,18,44,9,27,71,13,35,42,75,48,18
A#,44,107,43,30,46,60,19,34,81,42,93,26
B,97,11,55,15,52,13,11,38,16,24,23,69
