,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1522,115,215,267,155,72,27,116,271,103,141,64
C#,150,273,37,106,14,54,13,35,38,15,150,27
D,82,16,187,120,118,92,2,99,17,13,86,101
D#,324,176,79,841,69,61,36,209,170,30,71,43
E,194,6,18,22,623,143,47,112,29,11,5,13
F,31,76,157,143,58,353,63,148,159,42,83,15
F#,12,10,17,25,22,53,188,116,33,13,13,12
G,185,18,69,251,94,169,42,715,135,104,210,64
G#,175,45,17,156,46,229,37,133,885,55,122,98
A,83,6,17,23,2,57,26,47,15,176,113,143
A#,164,135,42,126,12,30,30,248,149,52,347,45
B,146,36,78,29,10,15,3,78,97,94,39,192
