,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,126,46,65,8,74,25,55,27,9,52,4,81
C#,9,239,243,136,482,28,81,32,22,164,38,98
D,44,194,1386,32,347,115,315,108,21,317,6,252
D#,9,8,10,32,161,32,34,50,10,26,29,63
E,61,304,290,53,721,26,395,323,142,386,22,150
F,17,32,90,2,30,62,65,17,21,56,6,41
F#,43,73,267,42,181,22,557,219,189,435,31,146
G,47,85,105,9,228,23,156,215,23,314,26,95
G#,8,45,36,8,66,24,37,8,158,162,94,108
A,90,230,416,24,310,41,380,203,85,1771,30,282
A#,32,28,9,2,21,4,46,21,10,13,36,121
B,86,288,221,37,252,37,84,153,64,165,50,522
