,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,158,12,81,37,140,164,71,182,13,111,32,129
C#,4,26,129,1,22,70,19,16,12,33,2,10
D,181,100,132,19,72,79,62,148,125,107,25,79
D#,4,51,20,47,65,2,14,26,4,27,38,19
E,175,22,135,36,166,63,15,90,49,144,32,48
F,99,6,103,6,123,79,30,80,31,67,26,119
F#,21,4,29,8,30,40,32,115,9,35,9,63
G,235,41,134,30,73,113,79,139,21,81,32,131
G#,35,61,55,86,29,27,7,45,18,40,8,18
A,116,48,170,23,89,63,17,155,46,128,10,29
A#,18,13,44,44,28,11,13,20,1,38,39,115
B,85,11,97,15,138,58,36,92,14,83,131,88
