,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,177,50,190,163,71,158,12,64,114,113,218,26
C#,22,240,17,40,31,154,47,3,26,3,108,5
D,66,11,198,70,57,219,40,41,3,30,212,13
D#,165,19,51,93,6,136,50,98,18,7,38,2
E,29,15,2,3,15,88,24,78,18,7,20,11
F,147,97,121,79,23,554,30,292,177,221,204,11
F#,3,10,7,41,13,15,89,67,35,19,58,9
G,63,2,37,101,35,193,27,153,38,140,152,44
G#,127,59,5,24,16,128,9,32,140,6,60,12
A,193,6,21,20,13,136,18,26,3,82,128,33
A#,304,167,275,47,17,169,19,116,37,46,463,4
B,60,20,36,2,17,6,1,15,11,5,3,25
