,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,261,28,137,178,10,97,12,108,152,102,146,19
C#,21,40,33,36,22,21,10,11,21,11,46,31
D,118,7,150,173,19,161,46,106,73,24,214,43
D#,241,50,132,409,27,172,51,269,138,36,216,53
E,14,22,16,30,26,35,31,29,9,1,17,5
F,99,29,198,197,15,181,53,138,161,14,141,77
F#,11,21,58,67,39,43,200,21,50,34,29,22
G,118,27,100,309,20,156,14,216,159,35,168,48
G#,109,22,66,121,16,213,92,137,148,24,179,25
A,45,15,43,37,3,36,44,27,14,48,65,12
A#,149,22,169,184,26,161,26,270,189,47,734,57
B,64,20,32,54,12,27,16,37,38,13,79,105
