,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,360,119,355,124,24,275,44,64,48,176,398,45
C#,155,141,51,77,11,114,46,6,49,10,92,25
D,300,48,405,368,57,263,17,76,13,71,273,29
D#,221,113,330,320,18,315,95,77,26,68,132,13
E,15,6,35,14,37,133,17,30,6,14,27,10
F,193,110,276,317,113,1023,175,214,70,249,645,6
F#,36,44,27,80,12,173,106,34,29,44,127,23
G,83,6,72,97,30,257,38,227,53,124,121,10
G#,44,57,16,26,6,59,54,88,109,35,58,19
A,154,21,89,61,14,230,32,125,47,228,329,9
A#,429,99,234,230,17,528,98,160,103,308,997,31
B,42,13,30,14,5,21,13,17,18,13,34,32
