,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,310,63,232,261,41,413,50,105,51,237,264,21
C#,77,150,13,60,29,125,41,25,56,26,160,14
D,190,32,302,179,30,384,29,89,34,108,503,38
D#,334,65,131,274,7,243,116,147,37,108,246,18
E,44,14,40,9,32,70,6,43,8,33,46,9
F,374,143,417,266,51,901,129,140,110,313,543,26
F#,61,55,33,113,19,95,145,13,24,70,106,20
G,118,16,105,127,53,143,21,197,25,89,204,14
G#,39,57,36,46,7,111,41,32,113,15,48,28
A,180,42,109,104,36,318,41,71,21,179,226,10
A#,291,125,467,272,46,573,117,235,69,153,854,21
B,30,14,33,15,3,37,18,16,25,6,22,36
