,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,247,13,57,35,170,29,15,32,65,195,38,137
C#,23,113,48,2,48,9,11,10,45,88,10,31
D,104,44,275,23,107,138,9,48,8,99,44,112
D#,19,11,38,124,104,11,37,12,17,10,12,13
E,170,74,159,82,530,157,31,103,170,213,9,117
F,31,15,110,30,217,271,13,38,23,104,20,16
F#,9,19,5,26,76,25,51,36,47,56,11,18
G,43,6,41,4,71,98,49,168,55,41,31,52
G#,35,20,18,42,128,17,64,67,140,129,4,143
A,244,83,103,25,250,76,63,84,99,459,59,86
A#,16,15,59,3,14,30,4,12,13,74,63,4
B,92,25,98,13,100,27,32,49,125,162,6,184
