,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,867,48,88,274,20,211,43,110,28,338,191,16
C#,57,327,28,50,62,170,33,43,17,69,213,14
D,71,26,808,88,12,596,60,141,29,70,712,46
D#,357,63,102,1003,15,139,178,310,11,157,260,41
E,41,60,13,19,168,48,3,27,4,22,32,15
F,183,155,560,182,34,1520,45,114,97,179,591,14
F#,35,49,66,163,3,55,378,21,11,54,127,2
G,140,26,138,328,52,113,15,585,7,49,216,25
G#,18,12,33,27,2,108,14,11,182,10,43,34
A,286,56,87,154,5,234,49,50,11,663,199,8
A#,155,255,701,299,64,462,139,258,67,188,3323,20
B,25,6,34,49,42,18,7,24,30,3,24,137
