,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,866,50,87,282,18,211,45,112,28,334,185,16
C#,57,327,29,52,64,171,33,43,17,69,207,14
D,71,25,811,95,12,608,60,143,29,63,696,46
D#,359,62,107,1004,15,141,178,305,11,157,256,41
E,41,60,13,17,168,48,3,27,4,22,34,15
F,189,156,566,187,38,1479,45,119,99,171,545,14
F#,36,49,66,160,3,59,376,21,11,53,128,2
G,139,29,139,331,52,114,16,589,7,39,214,25
G#,18,12,35,29,2,108,14,11,182,8,41,34
A,284,57,78,147,5,222,52,44,11,581,152,8
A#,150,250,692,283,60,429,135,256,64,142,2910,20
B,25,6,35,49,42,18,7,24,31,2,23,137
