,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,281,31,39,44,190,32,35,35,22,122,49,114
C#,24,81,522,20,161,4,31,33,43,73,34,84
D,125,557,893,43,139,138,378,113,32,212,87,216
D#,22,23,55,77,132,12,56,17,13,11,3,11
E,174,109,228,98,346,90,58,237,50,274,20,79
F,21,14,123,21,194,104,50,36,47,60,34,33
F#,23,36,315,35,109,36,223,121,17,272,17,83
G,62,48,99,32,207,170,123,173,35,113,51,77
G#,16,38,39,3,49,34,37,35,52,295,2,85
A,144,87,352,30,105,75,241,261,298,686,80,71
A#,17,39,93,6,11,11,14,48,22,109,83,49
B,85,47,176,23,120,31,41,81,54,202,42,96
